kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:17:23 +0000] "GET /me/ HTTP/1.1" 200 (523 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:17:23 +0000] "GET /environment/ HTTP/1.1" 200 (4869 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:17:23 +0000] "GET /environment/ HTTP/1.1" 200 (4869 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:17:23 +0000] "GET /api/v2/permissions/ HTTP/1.1" 200 (462 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:17:23 +0000] "GET /help/in_app_messages/ HTTP/1.1" 200 (52 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:17:23 +0000] "GET /api/v2/assets/?q=asset_type%3Asurvey&limit=200 HTTP/1.1" 200 (52 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - - [31/May/2021:20:19:05 +0000] "GET / HTTP/1.1" 502 (560 bytes) "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - - [31/May/2021:20:19:06 +0000] "GET /favicon.ico HTTP/1.1" 502 (560 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - - [31/May/2021:20:19:09 +0000] "GET / HTTP/1.1" 502 (560 bytes) "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - - [31/May/2021:20:19:09 +0000] "GET /favicon.ico HTTP/1.1" 502 (560 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - - [31/May/2021:20:19:12 +0000] "GET / HTTP/1.1" 502 (560 bytes) "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - - [31/May/2021:20:19:12 +0000] "GET /favicon.ico HTTP/1.1" 502 (560 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:20 +0000] "GET / HTTP/1.1" 200 (1062 bytes) "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:21 +0000] "GET /jsi18n/ HTTP/1.1" 200 (7896 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:21 +0000] "GET /me/ HTTP/1.1" 200 (523 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:21 +0000] "GET /environment/ HTTP/1.1" 200 (4869 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:21 +0000] "GET /environment/ HTTP/1.1" 200 (4869 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:21 +0000] "GET /api/v2/permissions/ HTTP/1.1" 200 (455 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:21 +0000] "GET /help/in_app_messages/ HTTP/1.1" 200 (52 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:21 +0000] "GET /api/v2/assets/?q=asset_type%3Asurvey&limit=200 HTTP/1.1" 200 (52 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:23 +0000] "GET / HTTP/1.1" 200 (1063 bytes) "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:23 +0000] "GET /jsi18n/ HTTP/1.1" 200 (7896 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:23 +0000] "GET /me/ HTTP/1.1" 200 (523 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:23 +0000] "GET /environment/ HTTP/1.1" 200 (4869 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:24 +0000] "GET /api/v2/permissions/ HTTP/1.1" 200 (455 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:24 +0000] "GET /environment/ HTTP/1.1" 200 (4869 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:24 +0000] "GET /help/in_app_messages/ HTTP/1.1" 200 (52 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:24 +0000] "GET /api/v2/assets/?q=asset_type%3Asurvey&limit=200 HTTP/1.1" 200 (52 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:36 +0000] "GET / HTTP/1.1" 200 (1061 bytes) "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:36 +0000] "GET /jsi18n/ HTTP/1.1" 200 (7896 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:36 +0000] "GET /environment/ HTTP/1.1" 200 (4869 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:36 +0000] "GET /me/ HTTP/1.1" 200 (523 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:36 +0000] "GET /api/v2/permissions/ HTTP/1.1" 200 (455 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:36 +0000] "GET /environment/ HTTP/1.1" 200 (4869 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:36 +0000] "GET /help/in_app_messages/ HTTP/1.1" 200 (52 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:36 +0000] "GET /api/v2/assets/?q=asset_type%3Asurvey&limit=200 HTTP/1.1" 200 (52 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:42 +0000] "GET / HTTP/1.1" 200 (1063 bytes) "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:42 +0000] "GET /jsi18n/ HTTP/1.1" 200 (7896 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:42 +0000] "GET /me/ HTTP/1.1" 200 (523 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:42 +0000] "GET /environment/ HTTP/1.1" 200 (4869 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:42 +0000] "GET /api/v2/permissions/ HTTP/1.1" 200 (455 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:42 +0000] "GET /environment/ HTTP/1.1" 200 (4869 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:43 +0000] "GET /help/in_app_messages/ HTTP/1.1" 200 (52 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - super_admin [31/May/2021:20:19:43 +0000] "GET /api/v2/assets/?q=asset_type%3Asurvey&limit=200 HTTP/1.1" 200 (52 bytes) "http://kf.kobo.local/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - - [31/May/2021:20:23:53 +0000] "GET / HTTP/1.1" 302 (0 bytes) "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - - [31/May/2021:20:23:53 +0000] "GET /accounts/login/?next=/ HTTP/1.1" 200 (1337 bytes) "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
kf.kobo.local | 192.168.1.8 - - [31/May/2021:20:23:54 +0000] "GET /me/ HTTP/1.1" 200 (35 bytes) "http://kf.kobo.local/accounts/login/?next=/" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36"
